City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,severo-yeniseyskiy,60.3725,93.0408,263.69,96,77,1.82,RU,1682174359
1,fort st. john,56.2499,-120.8529,272.09,80,75,3.09,CA,1682174175
2,pandan,14.0453,124.1694,299.7,87,97,3.09,PH,1682174364
3,igra,57.5558,53.0547,284.92,48,98,2.17,RU,1682174365
4,port saint john's,-31.6229,29.5448,295.1,50,97,7.35,ZA,1682174365
5,bratsk,56.1325,101.6142,272.42,92,97,4.51,RU,1682174366
6,port-aux-francais,-49.35,70.2167,280.61,90,100,16.52,TF,1682174366
7,happy valley-goose bay,53.3168,-60.3315,276.32,81,100,2.57,CA,1682174366
8,seven pagodas,12.6264,80.1722,304.18,75,74,4.51,IN,1682174367
9,edinburgh of the seven seas,-37.0676,-12.3116,288.39,62,5,13.18,SH,1682174367
10,naze,28.3667,129.4833,292.66,75,100,9.3,JP,1682174163
11,urangan,-25.3,152.9,295.15,74,24,9.58,AU,1682174821
12,north platte,41.1239,-100.7654,274.88,60,20,7.72,US,1682174822
13,yuzhno-kurilsk,44.0306,145.8556,274.89,88,70,7.73,RU,1682174822
14,anadyr,64.75,177.4833,260.43,92,100,1.79,RU,1682174822
15,ilulissat,69.2167,-51.1,271.16,86,75,1.54,GL,1682174822
16,uturoa,-16.7333,-151.4333,300.7,79,100,6.49,PF,1682174823
17,invercargill,-46.4,168.35,284.83,82,100,0.89,NZ,1682174823
18,arkhangel'sk,64.5401,40.5433,274.21,100,100,4.0,RU,1682174823
19,isafjordur,66.0755,-23.124,275.47,57,18,2.69,IS,1682174823
20,thompson,55.7435,-97.8558,269.24,58,75,2.06,CA,1682174731
21,lichtenvoorde,51.9867,6.5667,289.92,85,100,6.09,NL,1682174824
22,motygino,58.1831,94.7592,266.1,97,83,0.39,RU,1682174824
23,san luis de la loma,17.2706,-100.8939,300.84,65,77,1.49,MX,1682174824
24,hithadhoo,-0.6,73.0833,302.01,72,70,1.29,MV,1682174825
25,radashkovichy,54.1551,27.2424,287.7,49,67,1.46,BY,1682174825
26,margate,51.3813,1.3862,287.42,64,95,4.02,GB,1682174825
27,brejo,-3.6844,-42.7503,305.11,49,54,3.01,BR,1682174825
28,susuman,62.7833,148.1667,259.18,99,75,1.82,RU,1682174826
29,adamstown,-25.066,-130.1015,298.4,88,100,9.06,PN,1682174826
30,chimbote,-9.0853,-78.5783,299.32,74,47,2.66,PE,1682174826
31,tralee,52.2704,-9.7026,282.29,93,40,1.54,IE,1682174827
32,ushuaia,-54.8,-68.3,281.96,53,75,9.26,AR,1682174827
33,udachny,66.4167,112.4,264.34,94,100,2.26,RU,1682174827
34,saint-joseph,-21.3667,55.6167,299.36,82,34,1.69,RE,1682174827
35,hammerfest,70.6634,23.6821,269.4,86,75,6.17,NO,1682174828
36,puerto ayora,-0.7393,-90.3518,300.13,93,63,5.36,EC,1682174687
37,buka,40.8108,69.1986,293.22,23,10,2.41,UZ,1682174829
38,faya-largeau,17.9257,19.1043,314.46,6,1,3.25,TD,1682174829
39,port elizabeth,-33.918,25.5701,292.31,62,0,4.12,ZA,1682174829
40,west island,-12.1568,96.8225,301.14,78,40,5.14,CC,1682174553
41,hawaiian paradise park,19.5933,-154.9731,294.84,93,20,0.0,US,1682174830
42,carnarvon,-24.8667,113.6333,297.39,52,0,4.56,AU,1682174831
43,sao jose da coroa grande,-8.8978,-35.1478,301.97,63,100,4.76,BR,1682174831
